Unnamed: 0,번호,제목,저자,출판사,출판일
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,11,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto- Encoder and Load-Balancing, ProGReGA-KF",Hyunah Kim,국제문화기술진흥원,2021
,12,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto-Encoder and Load-Balancing, ProGReGA-KF","Kim, Hyunah",The International Promotion Agency of Culture Technology,2021
,13,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto-Encoder and Load-Balancing, ProGReGA-KF",김현아,국제문화기술진흥원,2021
,14,Private information protection method and countermeasures in Big-data environment: Survey,홍성혁,Korea Convergence Society,2018
,15,Analysis of Fire-Accident Factors Using Big-Data Analysis Method for Construction Areas,Joon-Soo Kim,대한토목학회,2018
,16,Text mining geo-visualization of patent documents on geo-spatial big-data industry,Wonwook Choi,대한공간정보학회,2019
,17,"Big-Data Meta Analysis in the Last Quarter Century of Mass Communication Research : Four Subfields of PR, Journalism, Political communication, and Advertising",김선우,한국PR학회,2021
,18,A Big-Data-Based Urban Flood Defense Decision Support System,Taimeng Yang,보안공학연구지원센터,2015
,19,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6,377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013",Lu-Lu Zhang,대한암학회,2019
,20,Development of Mission and Vision of College of Korean Medicine Using the Delphi Techniques and Big-Data Analysis,여상희,대한한의학회,2021
,21,Development of Mission and Vision of College of Korean Medicine Using the Delphi Techniques and Big-Data Analysis,Sanghee Yeo,대한한의학회,2021
,22,Using Big-Data-Driven Machine-Learning Experimentation to Modeling Mobility and Safety Disruption of Critical Highway Renewal Projects,"Choi, Kunhee",Korean Institute of Construction Engineering and Management,2018
,23,Technology Analysis of Big-data Collection and Pre-processing Based on Prescriptive Analytics,Lee Jeong-won,한국콘텐츠학회,2020
,24,A Study on Big-Data's Effect of Film Marketing,Jin-Wook Kim,한국콘텐츠학회,2014
,25,Extraction of valuable information from the structure of the geological big-data,Jina Jeong,대한지질학회,2020
,26,Improving Crisis & Emergency Management Capability of Government by  Using Big Data Technology - China’s Response to the COVID-19 -,Linpei Zhai,위기관리 이론과 실천,2021
,27,Challenges and Opportunities of Big Data,"Khalil, Md Ibrahim",ICT Platform Society,2020
,28,Challenges and Opportunities of Big Data,Md Ibrahim Khalil,ICT플랫폼학회,2020
,29,Big and Meta Data Management for U-Agriculture Mobile Services,Chandra Sukanya Nandyala,보안공학연구지원센터(IJSEIA),2016
,30,Comparative Study of Big Data Computing and Storage Tools : A Review,Bakshi Rohit Prasad,보안공학연구지원센터,2016
,31,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,Gui Yeol Ryu,한국인터넷방송통신학회,2019
,32,Handling Endogeneity Challenge in Big Astronomical Data,Sumedha Arora,보안공학연구지원센터,2015
,33,Spatial Big Data Strategy for Smart Safer City in Connection with Citizen Participation,최준영,국토지리학회,2020
,34,A Study on the Policy Trends for the Revitalization of Medical Big Data Industry,Hyejin Kim,한국디지털정책학회,2020
,35,The Framework of Social Networks Big Data Processing Based on Cloud Computing,Liu Kewen,보안공학연구지원센터,2016
,36,Future directions of Research on Crisis Management implementing Big Data,Seol A Kown,위기관리 이론과 실천,2016
,37,Big Data Platform Based on Hadoop and Application to Weight Estimation of FPSO Topside,"Kim, Seong-Hoon",Korean Society of Ocean Engineers,2017
,38,THE IMPACT OF BIG DATA ON BUSINESS MODEL INNOVATION OF TRADITIONAL INDUSTRY,"Shenghui Wang,Yuchen Zhang,Tianzhu Li,Jing Fei Long",글로벌지식마케팅경영학회,2016
,39,Anonymity Personal Information Secure Method in Big Data environment,Sunghyuck Hong,중소기업융합학회,2018
,40,Big Data Architecture Design for the Development of Hyper Live Map (HLM),"Moon, Sujung",한국측량학회,2016
,41,Big Data and Algorithm = 빅데이터와 알고리즘 : 독일 관점에서의 예비적 고찰,Hans-Heinrich Trute,서울대학교 공익산업법센터,2015
,42,Protecting Privacy in Big Data = 빅데이터 활용에 있어서의 프라이버시 보호,Fred H. Cate,서울대학교 공익산업법센터,2015
,43,Big Data Key Challenges,"Alotaibi, Sultan",International Journal of Computer ScienceNetwork Security,2022
,44,Analysis and Review the Data Using Big Data Hadoop,Ankit Jain,보안공학연구지원센터,2016
,45,Business Intelligence and Marketing Insights in an Era of Big Data: The Q-sorting Approach,"Kim, Ki Youn",Korean Society for Internet Information,2014
,46,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,류귀열,한국인터넷방송통신학회,2019
,47,Medical big data: promise and challenges,이충호,대한신장학회,2017
,48,Business Intelligence and Marketing Insights in an Era of Big Data: The Q-sorting Approach,김기연,한국인터넷정보학회,2014
,49,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,"Ryu, Gui Yeol",The Institute of Internet,2019
,50,The Limitations on the Use of Big Data Pursuant to Data Privacy Regulations in Korea,최정열,서울대학교 아시아태평양법연구소,2017
,51,Optimized Data Processing Analysis Using Big Data Cloud Platform,김종윤,한국지식정보기술학회,2021
,52,Practical use of open data to construct regional big data center for Hanwoo farm,이찬우,한국동물유전육종학회,2022
,53,Influence of Internet-based Social Big Data on Personal Credit Reporting,Meng Li,사단법인 미래융합기술연구학회,2020
,54,Future Directions of Research on Crisis Management Using Big Data,Seol A Kown,위기관리 이론과 실천,2016
,55,Optimization Driven MapReduce Framework for Indexing and Retrieval of Big Data,"Abdalla, Hemn Barzan",Korean Society for Internet Information,2020
,56,Design of a Platform for Collecting and Analyzing Agricultural Big Data,뉘엔반퀴엣,한국디지털콘텐츠학회,2017
,57,Legal Challenges to AI･Big Data Utilization,손승우,한국스포츠엔터테인먼트법학회,2019
,58,Big Data Architecture Design for the Development of Hyper Live Map (HLM),문수정,한국측량학회,2016
,59,Data Integration and Mining based on Web Big Data,Su-Zhi Zhang,보안공학연구지원센터,2015
,60,Knowledge Creation Structure of Big Data Research Domain,Su-Hyeon Namn,한국디지털정책학회,2015
,61,Proposal of the energy consumption analysis process for the residential houses using big data analytics technique,Pak W,한국CDE학회,2021
,62,Potentiality of Big Data in the Medical Sector: Focus on How to Reshape the Healthcare System,지경용,대한의료정보학회,2013
,63,Big Data Analysis Using Modern Statistical and Machine Learning Methods in Medicine,유창원,대한배뇨장애요실금학회,2014
,64,Big Data and Doing Research in the Management Discipline,정의교,한국무역연구원,2018
,65,Case Study on Big Data Sampling Population Collection Method Errors in Service Business,안진호,서비스사이언스학회,2020
,66,Bankruptcy Prediction Modeling Using Qualitative Information Based on Big Data Analytics = 빅데이터 기반의 정성 정보를 활용한 부도 예측 모형 구축,Nam-ok Jo(조남옥),한국지능정보시스템학회,2016
,67,Framework and Key Technology Review of Big Data Analysis in the Social Network Background,Zhendong Ji,보안공학연구지원센터,2016
,68,Design of a Platform for Collecting and Analyzing Agricultural Big Data,Van-Quyet Nguyen(뉘엔 반 퀴엣),한국디지털콘텐츠학회,2017
,69,Transport modelling in the age of big data,Cuauhtemoc Anda,서울시립대학교 도시과학연구원,2017
,70,Development of Real-time Big Data Analysis System and a Case Study on the Application of Information in a Medical Institution,Mi-Jin Kim,보안공학연구지원센터,2015
,71,"Legal Aspects of Personal Data Protection in the Big Data Era- Focused on Legal Consolidation, Information Sensitivity and Re-identification -",양기진,인하대학교 법학연구소,2014
,72,"Legal Aspects of Personal Data Protection in the Big Data Era = Focused on Legal Consolidation, Information Sensitivity and Re-identification","Yang, Gi-Jin(양기진)",인하대학교 법학연구소,2014
,73,Pediatric Cancer Research using Healthcare Big Data,Hyery Kim,대한소아혈액종양학회,2022
,74,A Study on Global Culture Arts and Big Data Analysis,고혜경,한국글로벌문화학회,2020
,75,The Arrival of the Industry 4.0 and the Importance of Corporate Big Data Utilization,안해리,동아시아경상학회,2022
,76,Toward a Policy for the Big Data-Based Social Problem-Solving Ecosystem: the Korean Context,박성욱,아시아기술혁신학회,2019
,77,A Study on Big Data Processing-based Data Concentrated Computation,조이상,한국지식정보기술학회,2021
,78,Toward a Policy for the Big Data-Based Social Problem-Solving Ecosystem: the Korean Context,"Park, Sung-Uk",Asian Society for Innovation and Policy,2019
,79,A study on ways to make employment improve through Big Data analysis of university information public,"Lim, Heon-Wook",The International Promotion Agency of Culture Technology,2021
,80,From Big Data to Business Value : Emerging Technology Extraction and Analysis System Based on Korean Newspapers,Dong-Suk Hong(홍동숙),한국엔터테인먼트산업학회,2014
,81,A study on ways to make employment improve through Big Data analysis of university information public,임헌욱,국제문화기술진흥원,2021
,82,Knowledge Creation Structure of Big Data Research Domain,남수현,한국디지털정책학회,2015
,83,Real-time analysis and predictability of the health functional food market using big data,김상순,한국식품과학회,2021
,84,Big Data Process Method and Usage,Seong-Hoon Lee,한국정보기술학회,2013
,85,Cost Minimization for Big Data Processing in Geo-Distributed Data Centres,T. Sai Raaga Sowmya,사단법인 미래융합기술연구학회,2016
,86,Big Data Security and Privacy: A Taxonomy with Some HPC and Blockchain Perspectives,"Alsulbi, Khalil",International Journal of Computer ScienceNetwork Security,2021
,87,Building Linked Big Data for Stroke in Korea: Linkage of Stroke Registry and National Health Insurance Claims Data,김태정,대한의학회,2018
,88,Big Data is Not just Hadoop,Ronnie D. Caytiles,사단법인 인문사회과학기술융합학회,2012
,89,Extracting the Sentiment Score of Customer Review from Unstructured Big Data Using Map Reduce Algorithm,Syed Imtiyaz Hassan,보안공학연구지원센터,2016
,90,Development of a Big Data Capability Assessment Model,Kyung-shik Shin,한국EA학회,2016
,91,Big data platform for health monitoring systems of multiple bridges,"Wang, Manya",Techno-Press,2020
,92,Protecting and Utilizing Health and Medical Big Data: Policy Perspectives from Korea,이동진,대한의료정보학회,2019
,93,Hadoop Based Wavelet Histogram for Big Data in Cloud,"Kim, Jeong-Joon",Korea Information Processing Society,2017
,94,Finding Useful Information for Big Data,Yong Shi,보안공학연구지원센터,2015
,95,A Study on the Collaborative Inventory Management of Big Data Supply Chain : Case of China’s Beer Industry,Jinhui Chen(진금회),한국컴퓨터정보학회,2021
,96,Anonymity Personal Information Secure Method in Big Data environment,홍성혁,중소기업융합학회,2018
,97,Approach to Big Data-based Reference Architecture for Specific Use Cases,안철범,한국지식정보기술학회,2021
,98,Development of a Big Data Capability Assessment Model,신경식,한국엔터프라이즈아키텍처학회,2016
,99,Efficient Query Processing Platform for Uncertain Big Data,Zhenhua Huang,보안공학연구지원센터,2015
,100,Do Property Rights in Personal Data Make Sense After the Big Data Turn? = 빅데이터 변화 이후에도 개인 정보의 재산권적 성격은 타당한가? - 개인 통제와 명확성,Nadezhda Purtova,서울대학교 공익산업법센터,2017
,101,Finding Industries for Big Data Usage on the Basis of AHP,Sang-Won Lee,한국디지털정책학회,2016
,102,Hadoop Based Wavelet Histogram for Big Data in Cloud,김정준,한국정보처리학회,2017
,103,"Big Data, Health Care, and International Human Rights Norms",Carole J. Petersen,이화여자대학교 생명의료법연구소,2017
,104,Utilizing Spatial Big Data platform in evaluating correlations between rental housing car sharing and public transportation,최준영,대한공간정보학회,2017
,105,Design and Development of Big Data Platform based on IoT-based Children's Play Pattern Analysis,정선진,한국인터넷방송통신학회,2020
,106,Design and Development of Big Data Platform based on IoT-based Children's Play Pattern Analysis,"Jung, Seon-Jin",The Institute of Internet,2020
,107,Performance Evaluation and Analysis of Multiple Scenarios of Big Data Stream Computing on Storm Platform,"Sun, Dawei",Korean Society for Internet Information,2018
,108,Design and Implementation of Hadoop-based Customer Marketing Big Data Processing System,Yang Liu,보안공학연구지원센터,2016
,109,Dynamic Guaranteed Cost Compression for Time Series Big Data,Miao Bei-bei,보안공학연구지원센터,2015
,110,A Study on Efficient Building Energy Management System Based on Big Data,Young-Hyun Chang,한국인터넷방송통신학회,2019
,111,Feature Selection Using Submodular Approach for Financial Big Data,Girija Attigeri,한국정보처리학회,2019
,112,Design and Implementation of Incremental Learning Technology for Big Data Mining,Byung-Won Min,한국콘텐츠학회,2019
,113,Design and Implementation of Incremental Learning Technology for Big Data Mining,"Min, Byung-Won",The Korea Contents Association,2019
,114,Design and Implementation of Incremental Learning Technology for Big Data Mining,민병원,한국콘텐츠학회,2019
,115,Communication Management of Large Projects in Big Data Environment,Suhail Memon,보안공학연구지원센터,2015
,116,A Study on the Collaborative Inventory Management of Big Data Supply Chain : Case of China's Beer Industry,진금회,한국컴퓨터정보학회,2021
,117,BIG DATA IN FAMILY BUSINESS MARKETING ACTIVITIES DECISIONS,Isabel Torres,글로벌지식마케팅경영학회,2018
,118,DTG Big Data Analysis for Fuel Consumption Estimation,조원희,한국정보처리학회,2017
,119,Big Data Meets Telcos: A Proactive Caching Perspective,Ejder Ba¸stu˘g,한국통신학회,2015
,120,Big Data Process Method and Usage,이성훈,한국정보기술학회,2013
,121,A Study of Hybrid Heterogeneous System Based on Big Data Query,Sang Hailing,보안공학연구지원센터,2016
,122,"A Collaborative Inventory Management of Big Data Supply Chain based on System Dynamics: China""s Beer Industry",Jinhui Chen,한국정보통신학회,2021
,123,Finding Industries for Big Data Usage on the Basis of AHP,이상원,한국디지털정책학회,2016
,124,Examining the Impact of Weather Factors on Yield Industry Vitalization on Big Data Foundation Technique,Yun-Jeong Kang(강윤정),한국엔터테인먼트산업학회,2017
,125,Forecast Likelihood of Stock Trading Price Based on Big Data Analysis,Soo-Tai Nam,한국정보통신학회,2019
,126,A Big Data Analytics Platform for Smart Factories in Small and Medium-Sized Manufacturing Enterprises: An Empirical Case Study of a Die Casting Factory,이주연,한국정밀공학회,2017
,127,Big data-based piping material analysis framework in offshore structure for contract design,"Oh, Min-Jae",Techno-Press,2019
,128,Offline-to-Online Service and Big Data Analysis for End-to-end Freight Management System,Suganya Selvaraj,한국정보처리학회,2020
,129,A Survey of Homomorphic Encryption for Outsourced Big Data Computation,"Fun, Tan Soo",Korean Society for Internet Information,2016
,130,Dynamic Data Migration in Hybrid Main Memories for In-Memory Big Data Storage,"Mai, Hai Thanh",Electronics and Telecommunications Research Institute,2014
,131,“DON’T JUDGE A BOOK BY ITS COVER.” HOW BIG DATA CHANGES DECISION PROCESSES OF MARKETING MANAGERS.,Christoph Wortmann,글로벌지식마케팅경영학회,2018
,132,Construction and Application of Information Base of Urban Residential Landscape Based on Big Data,Wang Shunhui,보안공학연구지원센터,2015
,133,Offline-to-Online Service and Big Data Analysis for End-to-end Freight Management System,"Selvaraj, Suganya",Korea Information Processing Society,2020
,134,TREND ANALYSIS FOR CUSTOMER PURCHASING INTENTION BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,135,Integrating Normalization with Random Tree Data Mining Approach for Mining Cloud Based Big Data’s of Asthma Patient’s,Abhinav Hans,보안공학연구지원센터,2015
,136,A Keyword Network Analysis of Standard Medical Terminology for Musculoskeletal System Using Big Data,Byung-Kwan Choi,한국디지털정책학회,2022
,137,k-NN Join Based on LSH in Big Data Environment,"Ji, Jiaqi",The Korea Institute of Information and Commucation Engineering,2018
,138,Big Data Processing Strategies for Low-cost Monitoring of Airborne Particulate Matter in Mine Sites,Eui Young Seo,계명대학교 자연과학연구소,2021
,139,DTG Big Data Analysis for Fuel Consumption Estimation,"Cho, Wonhee",Korea Information Processing Society,2017
,140,Identifying Barriers to Big Data Analytics: Design-Reality Gap Analysis in Saudi Higher Education,"AlMobark, Bandar Abdullah",International Journal of Computer ScienceNetwork Security,2021
,141,Investigation of Personal Information Protection Schemes in the Era of Big Data,구단,한중사회과학학회,2022
,142,Determinants of Satisfaction by Leisure Tourists from Big Data Analysis: Focused on Tourists Who Go Fishing,Youngjun Choi,한국조리학회,2021
,143,Curating Big Data for Health and Wellness in Cloudcentric IoT,무하마드 비랄 아민,한국통신학회,2018
,144,Airline Data Set Analysis using Big Data in Cloud Computing,Nillohit Bhattacharya,한국경영정보학회,2017
,145,A Benchmark Test of Spatial Big Data Processing Tools and a MapReduce Application,"Nguyen, Minh Hieu",한국측량학회,2017
,146,Localized indoor air quality monitoring for indoor pollutants’ healthy risk assessment using sub-principal component analysis driven model and engineering big data,시홍란,한국화학공학회,2015
,147,Multilevel Analysis on Factors Affecting Fundus Examination Using Big Data,Min-Kyoung Kim,한국정보통신학회,2019
,148,A Survey on SLA Management for Cloud Computing and Cloud-Hosted Big Data Analytic Applications,Radhya Sahal,보안공학연구지원센터,2016
,149,Credit Risk Analysis Using the Big Data of Chinese Microfinance Company,Ying Wang,한국아시아학회,2021
,150,Advancing Cancer Prevention and Behavior Theory in the Era of Big Data,Audie A. Atienza,대한암예방학회,2016
